type,name,year,asset_id,title,artist
partial_30_year,Contemporary Christian - Public Performance Publishing Royalties,,4692,24.0,
life_of_rights,"""Bad Day"" By Daniel Powter + More - Producer Royalties",,4893,14.0,
life_of_rights,"Hip-Hop Songwriter Royalties feat. NoCap, Quando Rondo and More",,4975,11.0,
life_of_rights,Alert Tone Royalties from Apple,,4695,415.0,
partial_30_year,"Dem Franchize Boyz ""Lean Wit It Rock Wit It"" + More",,4657,17.0,
life_of_rights,"Pop & Country Songwriter Royalties: Ben Rector, Chris Lane, + More",,4946,30.0,
life_of_rights,Contemporary Christian Publishing Royalties ft. TobyMac and Mandisa,,4944,213.0,
life_of_rights,Cage The Elephant - Rock Publishing Royalties,,4960,46.0,
life_of_rights,"""Brick House"", ""Machine Gun"" and More from The Commodores",,4973,51.0,
life_of_rights,Country Hits from Travis Tritt - Producer Royalties,,4920,60.0,
life_of_rights,Swedish Hip-Hop Songwriter Royalties,,4971,17.0,
10_year,Songwriter Royalties from Explorers Club + TV/Film Placements,,4970,66.0,
10_year,Cues from The Carbonaro Effect,,4942,4.0,
life_of_rights,"Songwriter Royalties - Chris Brown, Lotto, + More",,4851,13.0,
life_of_rights,"Pop Songwriter Royalties ft. Demi Lovato, Camila Cabello, + More",,4947,46.0,
life_of_rights,"Lana Del Rey's ""Lust For Life"" Album - Producer Royalties",,4950,14.0,
life_of_rights,"Lana Del Rey's ""Honeymoon"" Album - Producer Royalties",,4948,15.0,
10_year,Reality TV Songwriter Royalties - Impractical Jokers and More,,4938,369.0,
life_of_rights,"Copyright and Royalties - Machine Gun Kelly's ""Home"" + more",,4913,3.0,
life_of_rights,Music from Bewitched and other 1960's TV & Films,,4908,88.0,
life_of_rights,"""Sad Hours"" by LRN Slime - Sound Recording Royalties",,4904,2.0,
life_of_rights,"Music Used In Sportscasts, R&B From Sisqo + More",,4832,171.0,
life_of_rights,"""Choices"" by E-40 - Publishing Royalties",,4915,2.0,
life_of_rights,Patient Zero Beats - Sound Recording Royalties,,4897,4.0,
life_of_rights,Contemporary Worship: Sound Recording & Publishing Royalties,,4912,72.0,
life_of_rights,"T-Wayne Artist Royalties: ""Nasty Freestyle"" + More",,4813,26.0,
life_of_rights,Future & YoungBoy NBA Songwriter Royalties,,4659,5.0,
10_year,Independent Hip-Hop Publishing Royalties From Euroz,,4917,87.0,
10_year,"Music for Television Including ""Black Lady Sketch Show"" and ""Real Housewives""",,4916,39.0,
partial_10_year,Streaming-Driven Hip-Hop From RiFF RAFF,,3704,22.0,
partial_30_year,Chill Low-Fi Royalties from Smeyeul,,4757,81.0,
life_of_rights,"Music from Zachariah, The Gun Hawk + Other Classic TV/Films",,4883,156.0,
partial_10_year,International Pop & Hip-Hop Catalog,,3203,30.0,
